epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94657,1.52131,4.23392,1.49084,0.15456,0.35047,0.08026,0.05639,0.99706,3.39876,1.06656,0.0678684,0.000324561,0.000324561
2,9.82229,1.06911,2.81858,1.25142,0.21152,0.52845,0.30297,0.19647,1.25308,2.26851,1.21333,0.0348671,0.000656592,0.000656592
3,13.594,0.97524,2.09507,1.18981,0.62347,0.58705,0.64009,0.4531,1.08996,1.49282,1.09692,0.0018645,0.000987303,0.000987303
4,17.2276,0.93373,1.60564,1.14332,0.74753,0.74162,0.82793,0.58643,1.0962,1.05784,1.09523,0.00099406,0.00099406,0.00099406
5,20.9183,0.91309,1.26362,1.1178,0.87627,0.84819,0.92475,0.60701,1.24558,0.83638,1.18837,0.00099208,0.00099208,0.00099208
6,24.7068,0.88529,1.04539,1.09825,0.9086,0.91088,0.95819,0.62624,1.24975,0.70776,1.19791,0.0009901,0.0009901,0.0009901
7,28.6213,0.86858,0.92528,1.0893,0.9563,0.93325,0.97335,0.69957,1.03935,0.58547,1.08506,0.00098812,0.00098812,0.00098812
8,32.0818,0.8616,0.83632,1.08128,0.96621,0.94099,0.97868,0.71442,1.00038,0.54782,1.04811,0.00098614,0.00098614,0.00098614
9,35.5999,0.84162,0.79301,1.06777,0.95625,0.95851,0.98197,0.72248,0.96437,0.52225,1.03082,0.00098416,0.00098416,0.00098416
10,39.1933,0.83082,0.75983,1.06217,0.96121,0.96616,0.98173,0.7473,0.88657,0.4901,1.00516,0.00098218,0.00098218,0.00098218
11,42.8111,0.81807,0.71059,1.05668,0.96055,0.96885,0.98268,0.75084,0.87858,0.46443,0.99849,0.0009802,0.0009802,0.0009802
12,46.3711,0.79963,0.67917,1.04338,0.96337,0.97474,0.98209,0.759,0.85834,0.45133,0.98454,0.00097822,0.00097822,0.00097822
13,50.021,0.78518,0.64789,1.03715,0.96605,0.97535,0.98172,0.78221,0.79029,0.44406,0.96108,0.00097624,0.00097624,0.00097624
14,53.6379,0.79376,0.64374,1.03943,0.97287,0.98027,0.97903,0.7167,0.98943,0.45903,1.05273,0.00097426,0.00097426,0.00097426
15,57.2693,0.78981,0.64586,1.0373,0.96093,0.97745,0.98268,0.78302,0.79425,0.4238,0.96265,0.00097228,0.00097228,0.00097228
16,60.9307,0.77642,0.63119,1.03328,0.96228,0.98023,0.98138,0.77364,0.82206,0.42703,0.97751,0.0009703,0.0009703,0.0009703
17,64.7766,0.77018,0.61787,1.02622,0.97377,0.97959,0.98146,0.76068,0.86577,0.4214,0.99373,0.00096832,0.00096832,0.00096832
18,68.2938,0.78506,0.60758,1.03622,0.96067,0.97198,0.98014,0.75523,0.89845,0.43252,1.00423,0.00096634,0.00096634,0.00096634
19,72.0802,0.76512,0.60012,1.02062,0.97175,0.97878,0.98148,0.78437,0.79024,0.40488,0.9573,0.00096436,0.00096436,0.00096436
20,75.77,0.77318,0.57818,1.01909,0.96722,0.98166,0.98158,0.77352,0.81332,0.39574,0.96549,0.00096238,0.00096238,0.00096238
21,79.3422,0.75656,0.57313,1.01484,0.97603,0.9815,0.98421,0.75909,0.88195,0.40433,0.9977,0.0009604,0.0009604,0.0009604
22,82.8315,0.76318,0.56947,1.01925,0.98047,0.98544,0.98161,0.77384,0.81445,0.38391,0.96854,0.00095842,0.00095842,0.00095842
23,86.4808,0.76062,0.55714,1.01716,0.97642,0.98175,0.9838,0.78793,0.79316,0.38314,0.9551,0.00095644,0.00095644,0.00095644
24,90.1747,0.76055,0.54556,1.01608,0.97805,0.97874,0.98311,0.77945,0.80516,0.38481,0.96153,0.00095446,0.00095446,0.00095446
25,93.9032,0.75887,0.53543,1.01305,0.97738,0.97763,0.98246,0.78345,0.79973,0.38621,0.95868,0.00095248,0.00095248,0.00095248
26,97.5498,0.77239,0.55995,1.02074,0.97548,0.98215,0.98217,0.79499,0.75465,0.37875,0.94201,0.0009505,0.0009505,0.0009505
27,101.612,0.73187,0.52885,1.00199,0.98227,0.98287,0.98446,0.7763,0.82336,0.378,0.96477,0.00094852,0.00094852,0.00094852
28,105.119,0.73814,0.55111,1.00283,0.97839,0.98166,0.98305,0.77454,0.83449,0.38204,0.97698,0.00094654,0.00094654,0.00094654
29,108.816,0.75936,0.52981,1.0099,0.97516,0.98692,0.98194,0.7864,0.81037,0.37986,0.96987,0.00094456,0.00094456,0.00094456
30,112.426,0.72945,0.50985,0.99434,0.98046,0.98759,0.98294,0.7928,0.79267,0.36865,0.95694,0.00094258,0.00094258,0.00094258
31,116.052,0.74675,0.5139,1.00351,0.9813,0.984,0.98443,0.79607,0.77314,0.36076,0.94874,0.0009406,0.0009406,0.0009406
32,119.823,0.71495,0.50394,0.99038,0.9794,0.9851,0.98353,0.79697,0.7645,0.36236,0.94328,0.00093862,0.00093862,0.00093862
33,123.426,0.72342,0.50347,0.99398,0.98322,0.9886,0.98389,0.77112,0.85322,0.37101,0.97886,0.00093664,0.00093664,0.00093664
34,126.899,0.73201,0.50012,0.9945,0.98291,0.98649,0.98319,0.76675,0.87071,0.36988,0.98963,0.00093466,0.00093466,0.00093466
35,130.434,0.73684,0.51152,1.00061,0.98207,0.97619,0.98232,0.78421,0.80565,0.37666,0.96437,0.00093268,0.00093268,0.00093268
36,133.883,0.72203,0.48541,0.99699,0.97989,0.98752,0.98252,0.78345,0.80246,0.35999,0.95874,0.0009307,0.0009307,0.0009307
37,137.424,0.72115,0.48591,0.99572,0.97935,0.98306,0.98468,0.81047,0.71866,0.35457,0.93175,0.00092872,0.00092872,0.00092872
38,141.212,0.72762,0.4932,0.99475,0.98335,0.98579,0.98443,0.79393,0.77517,0.35146,0.94817,0.00092674,0.00092674,0.00092674
39,144.724,0.72251,0.49031,0.99281,0.97638,0.9874,0.98323,0.79807,0.76827,0.36269,0.94834,0.00092476,0.00092476,0.00092476
40,148.227,0.71882,0.48113,0.99219,0.97816,0.98495,0.98281,0.79825,0.76954,0.35599,0.94464,0.00092278,0.00092278,0.00092278
41,151.51,0.70492,0.46044,0.97838,0.98146,0.98546,0.98243,0.80407,0.73672,0.34436,0.93337,0.0009208,0.0009208,0.0009208
42,154.98,0.70897,0.48036,0.98386,0.98313,0.97979,0.98228,0.79706,0.77161,0.35494,0.94423,0.00091882,0.00091882,0.00091882
43,158.632,0.69483,0.4637,0.98236,0.97971,0.98283,0.98263,0.79649,0.77056,0.3566,0.94394,0.00091684,0.00091684,0.00091684
44,162.189,0.71803,0.47055,0.99326,0.98326,0.98449,0.9847,0.80612,0.75385,0.35001,0.9399,0.00091486,0.00091486,0.00091486
45,165.742,0.71136,0.48079,0.99298,0.98308,0.98477,0.98404,0.79809,0.77347,0.3467,0.95679,0.00091288,0.00091288,0.00091288
46,169.38,0.69994,0.45419,0.98007,0.98134,0.98819,0.98336,0.80282,0.76693,0.34757,0.95126,0.0009109,0.0009109,0.0009109
47,173.025,0.69747,0.45189,0.97594,0.98146,0.98895,0.9847,0.78689,0.80883,0.35445,0.96424,0.00090892,0.00090892,0.00090892
48,176.738,0.70241,0.45694,0.98545,0.9841,0.98817,0.98289,0.80399,0.75859,0.33952,0.94061,0.00090694,0.00090694,0.00090694
49,180.471,0.69392,0.44765,0.98006,0.98424,0.98973,0.98196,0.81344,0.7236,0.33169,0.93003,0.00090496,0.00090496,0.00090496
50,184.18,0.68852,0.43919,0.97151,0.98427,0.98895,0.98346,0.82057,0.71264,0.33617,0.92509,0.00090298,0.00090298,0.00090298
51,187.914,0.69224,0.43462,0.97243,0.98436,0.98737,0.9844,0.81134,0.74262,0.33541,0.93611,0.000901,0.000901,0.000901
52,191.594,0.68915,0.4639,0.98024,0.98386,0.98936,0.98228,0.79835,0.76969,0.34215,0.94932,0.00089902,0.00089902,0.00089902
53,195.265,0.69058,0.44476,0.97238,0.9833,0.98472,0.98439,0.81374,0.72424,0.33743,0.93804,0.00089704,0.00089704,0.00089704
54,198.718,0.69587,0.45624,0.97795,0.98383,0.98738,0.98225,0.80793,0.72841,0.33843,0.93362,0.00089506,0.00089506,0.00089506
55,202.304,0.6858,0.4444,0.97605,0.98224,0.98883,0.98063,0.80102,0.77015,0.34378,0.94961,0.00089308,0.00089308,0.00089308
56,205.911,0.68708,0.43214,0.97239,0.98303,0.98597,0.98202,0.81324,0.72538,0.33717,0.93158,0.0008911,0.0008911,0.0008911
57,209.404,0.67337,0.4322,0.9714,0.98427,0.98833,0.98287,0.818,0.7127,0.33128,0.92541,0.00088912,0.00088912,0.00088912
