epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77583,2.41614,33.5148,1.29535,0.00114,0.0925,0.00142,0.00078,1.89596,12.2744,1.09833,0.09406,6e-05,6e-05
2,3.30415,2.60076,21.1792,1.34071,0.63363,0.03125,0.05136,0.03115,1.64736,5.03762,1.03551,0.0871291,0.000129142,0.000129142
3,4.88521,1.98932,3.92618,1.04125,0.40087,0.36483,0.24899,0.15725,1.75008,2.87568,1.03107,0.0801974,0.00019736,0.00019736
4,6.45683,1.63552,2.56936,0.97248,0.40748,0.47833,0.36522,0.22632,1.70285,2.32145,1.01195,0.0732647,0.000264654,0.000264654
5,8.01433,1.62057,1.96626,0.99135,0.39481,0.69192,0.64493,0.4115,1.58573,1.93227,1.01544,0.066331,0.000331024,0.000331024
6,9.67827,1.57487,1.69556,1.01777,0.59016,0.63505,0.73126,0.45149,1.64747,1.39358,1.05656,0.0593965,0.00039647,0.00039647
7,11.2404,1.46593,1.40606,0.96295,0.87548,0.75958,0.9156,0.6051,1.27611,1.34636,0.93593,0.052461,0.000460992,0.000460992
8,12.8143,1.39263,1.40174,0.93833,0.77835,0.90325,0.95754,0.6438,1.29685,0.98316,0.95635,0.0455246,0.00052459,0.00052459
9,14.391,1.41839,1.19001,0.91653,0.78665,0.92145,0.97546,0.69557,1.1612,0.90265,0.93021,0.0385873,0.000587264,0.000587264
10,15.9258,1.36639,1.06761,0.91437,0.83959,0.92626,0.98044,0.69231,1.13647,0.83992,0.9307,0.031649,0.000649014,0.000649014
11,17.4508,1.46553,0.99797,0.92214,0.9531,0.9599,0.99342,0.7126,1.10334,0.78944,0.90685,0.0247098,0.00070984,0.00070984
12,19.0158,1.32981,0.88694,0.93855,0.94369,0.92064,0.98575,0.72609,1.06467,0.71434,0.89085,0.0177697,0.000769742,0.000769742
13,20.5585,1.41159,0.98037,0.88346,0.93861,0.93073,0.9861,0.71947,1.058,0.6889,0.88935,0.0108287,0.00082872,0.00082872
14,22.0782,1.34947,0.84933,0.91845,0.9241,0.96803,0.99357,0.68383,1.18668,0.72888,0.9083,0.00388677,0.000886774,0.000886774
15,23.6284,1.42815,0.89463,0.8996,0.90089,0.97508,0.98264,0.67268,1.17826,0.73672,0.90267,0.0009076,0.0009076,0.0009076
16,25.1488,1.32008,0.86852,0.89125,0.85645,0.96306,0.98656,0.72652,1.02577,0.77472,0.88231,0.000901,0.000901,0.000901
