epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.15798,1.124,2.61134,1.24072,0.2464,0.65353,0.39496,0.19324,1.83877,2.45628,1.61734,0.0678684,0.000324561,0.000324561
2,10.118,0.98321,1.329,1.14437,0.69629,0.81313,0.83754,0.55329,1.22023,1.11239,1.19889,0.0348671,0.000656592,0.000656592
3,14.0164,0.94059,0.97054,1.1308,0.90045,0.83554,0.95009,0.68122,1.03486,0.82514,1.09248,0.0018645,0.000987303,0.000987303
4,18.0979,0.89846,0.83319,1.10026,0.9168,0.9186,0.96151,0.70666,0.96588,0.6702,1.06488,0.00099406,0.00099406,0.00099406
5,21.9068,0.89515,0.77196,1.0971,0.94714,0.94551,0.97581,0.73882,0.94024,0.57693,1.05,0.00099208,0.00099208,0.00099208
6,25.8064,0.87719,0.71109,1.0857,0.94555,0.95205,0.97622,0.75598,0.87538,0.57132,1.03812,0.0009901,0.0009901,0.0009901
7,29.6724,0.85109,0.6848,1.0784,0.95323,0.96913,0.98192,0.76342,0.85217,0.53814,1.00815,0.00098812,0.00098812,0.00098812
8,33.5767,0.87082,0.6751,1.08532,0.93857,0.96297,0.98009,0.77786,0.81052,0.52404,0.98488,0.00098614,0.00098614,0.00098614
9,37.3283,0.85218,0.65932,1.07706,0.94909,0.96501,0.97917,0.76592,0.81363,0.50527,0.9778,0.00098416,0.00098416,0.00098416
10,41.1417,0.83522,0.64978,1.0713,0.96781,0.96832,0.98362,0.75223,0.9053,0.49784,1.03141,0.00098218,0.00098218,0.00098218
11,44.9119,0.84041,0.61775,1.07766,0.97582,0.9774,0.98622,0.75526,0.89824,0.46375,1.01082,0.0009802,0.0009802,0.0009802
12,48.7327,0.82935,0.60696,1.06525,0.97379,0.97114,0.98198,0.78739,0.77768,0.45885,0.96858,0.00097822,0.00097822,0.00097822
13,52.6124,0.80803,0.59547,1.05557,0.97725,0.97301,0.98199,0.75393,0.89327,0.48321,1.01521,0.00097624,0.00097624,0.00097624
14,56.3481,0.8058,0.57546,1.05598,0.95639,0.97994,0.97665,0.76374,0.84792,0.45892,1.00333,0.00097426,0.00097426,0.00097426
15,60.1577,0.81034,0.59093,1.06155,0.97189,0.9698,0.98003,0.79362,0.75,0.42858,0.96434,0.00097228,0.00097228,0.00097228
16,64.0445,0.80288,0.5717,1.06014,0.96865,0.96797,0.97975,0.76496,0.83769,0.45419,1.00186,0.0009703,0.0009703,0.0009703
17,67.9998,0.80301,0.56786,1.05886,0.96947,0.98527,0.9825,0.74061,0.93832,0.44586,1.06381,0.00096832,0.00096832,0.00096832
18,71.8568,0.81613,0.57805,1.06813,0.96858,0.97732,0.97866,0.78601,0.78937,0.44912,0.98358,0.00096634,0.00096634,0.00096634
19,75.7023,0.7984,0.55212,1.05241,0.97818,0.97973,0.98155,0.7693,0.85164,0.42596,1.00651,0.00096436,0.00096436,0.00096436
20,79.3591,0.81692,0.54264,1.05674,0.98047,0.98237,0.98212,0.79937,0.75351,0.41289,0.96426,0.00096238,0.00096238,0.00096238
21,83.3114,0.804,0.54336,1.05183,0.97099,0.97791,0.98298,0.7911,0.77113,0.42846,0.9722,0.0009604,0.0009604,0.0009604
22,87.0093,0.81917,0.54114,1.06,0.97443,0.97871,0.98077,0.79307,0.77594,0.41294,0.97865,0.00095842,0.00095842,0.00095842
23,90.8425,0.81328,0.53999,1.05732,0.97425,0.98451,0.98373,0.76995,0.84384,0.41959,0.9973,0.00095644,0.00095644,0.00095644
24,94.6045,0.79278,0.5091,1.0431,0.98126,0.98148,0.98403,0.75922,0.90397,0.42049,1.01954,0.00095446,0.00095446,0.00095446
25,98.3509,0.78572,0.50785,1.03911,0.98086,0.98712,0.98237,0.75103,0.91574,0.42012,1.02501,0.00095248,0.00095248,0.00095248
