Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.57095658215512E-06,0.0438094594610387,0.0731619735136615,0,0,0,117.497872021732,3.00670617451833,-5.23402855344243E-05,0.000153120753143614,3.02761964102687,0.0593585142291048,4.01740839133865,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/base_link.STL,,外壳-1;底盘-agv-1;升降柱外壳-1;转接板-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_r,0,-1.38777878078145E-17,-2.77555756156289E-17,0,0,0,0.941042738950082,0.00170499901767243,-7.83036536159823E-51,-3.93685896742917E-35,0.00170499901767243,-1.70860751235549E-36,0.00311129672944552,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/wheel_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/wheel_r.STL,,轮-2,w-r,l-w2,w_r,continuous,-0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel_l,5.55111512312578E-17,0,-5.55111512312578E-17,0,0,0,0.941042738950082,0.00170499901767243,2.08809742975953E-50,7.9632295469293E-35,0.00170499901767243,-1.70860751235549E-36,0.00311129672944551,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/wheel_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/wheel_l.STL,,轮-1,w-l,l-w1,w_l,continuous,0.1793,0.050006,-0.2071,0,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
link_1,0,0,-0.151,0,0,0,14.2347501496821,0.254522077593032,1.40946576508768E-50,2.26754525837298E-33,0.254522077593032,-3.78389053889462E-34,0.0264837526534835,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_1.STL,,升降柱-1,c-1,l-1,l_1,prismatic,0,0,0.565,0,0,0,base_link,0,0,1,0,0,0,0.4,,,,,,,,
link_2,-0.00510085608125199,2.76030308702102E-05,0.154933599644375,0,0,0,4.72336584565363,0.0504292282245267,-2.72921337177587E-05,-0.00163934802494906,0.0549230312480384,1.85293969295227E-05,0.0134598340945887,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_2.STL,,机械臂底座-1;侧盖-1;MiniCobo 2023-03-03-1/MC 00_默认-1,c-2,l-2,l_2,revolute,0,0,0.0745,0,0,0,link_1,0,0,1,0,0,-2.7925,2.7925,,,,,,,,
link_3,-0.0025460222142763,1.29838654411296E-08,0.0487080488190528,0,0,0,1.2679984054123,0.00113364918039248,-8.90052173790371E-10,1.06284029103091E-05,0.00139294470935827,1.94125318630103E-09,0.00124029626232309,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_3.STL,,颈部-1,c-3,l-3,l_3,revolute,0,0,0.3465,0,0,0,link_2,0,0,1,0,0,-3.1415,3.1415,,,,,,,,
link_4,-0.0356340059910656,0.00952703677544092,0.000354991202713484,0,0,0,0.508357180113433,0.00217082376630039,-2.42229896931147E-06,-3.02744570630276E-05,0.00182936367129821,4.21377110079457E-06,0.00133450978767258,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_4.STL,,头部v2-1,c-4,l-4,l_4,revolute,0,0,0.052,0,1.5708,0,link_3,0,0,1,0,0,-0.0872,0.6108,,,,,,,,
Camera3_Link,5.68892124458431E-05,-2.63392011503605E-05,0.012942735535695,0,0,0,0.0875979434243871,1.06602949918824E-05,-8.54998727243587E-08,-5.78556215603225E-08,0.00010643284507406,9.93797837095681E-09,0.000107381008142404,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/Camera3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/Camera3_Link.STL,,相机-2,cc_4,cl_4,cm3_l,fixed,-0.0552,-0.0665,-0.001,1.5708,-1.5708,0,link_4,0,0,0,,,,,,,,,,,,
link_a1,-1.9998511011643E-06,0.0134079971471797,0.0943686061195934,0,0,0,1.35363412771609,0.00550421009964208,9.79122039100754E-08,2.49435588815162E-08,0.00543503119641918,-0.000690462717635347,0.00167462250691422,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a1.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a1.STL,,MiniCobo 2023-03-03-1/MC 01_默认-1,ac-1,al-1,l_a1,revolute,-0.104,0,0.069,3.1416,1.5708,0,link_2,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link_a2,0.090605416923298,-2.58600093649974E-06,-0.00609952306741931,0,0,0,1.13725613291731,0.00215009827923876,8.33869649445781E-07,0.00254380393250188,0.00820239963405526,-4.4243055112101E-07,0.00725300805967666,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a2.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a2.STL,,MiniCobo 2023-03-03-1/MC 02_默认-1,ac-2,al-2,l_a2,revolute,0,-0.0165,0.156,1.57079632679489,-1.5707963267949,0,link_a1,0,0,1,0,0,-2.1816,2.1816,,,,,,,,
link_a3,0.0420860444220137,2.83552794133612E-07,0.0309278894752134,0,0,0,0.81274798684902,0.000704665343337443,-8.97697298056851E-09,0.000222641185973676,0.00221943524795946,1.40081838032314E-08,0.00212284072119055,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a3.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a3.STL,,MiniCobo 2023-03-03-1/MC 03_默认-1,ac-3,al-3,l_a3,revolute,0.21,0,-0.029,0,0,0,link_a2,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link_a4,5.25973461562579E-06,-0.0259459115704968,0.0452714391339665,0,0,0,0.308941204464269,0.000485737318642283,1.50755095959191E-08,2.19693443133857E-08,0.000466355171348267,0.000110728922271964,0.000234923681068276,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a4.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a4.STL,,MiniCobo 2023-03-03-1/MC 04_默认-1,ac-4,al-4,l_a4,revolute,0.1303,0,0.0185,-1.5708,0,-1.5708,link_a3,0,0,1,0,0,-6.2831,6.2831,,,,,,,,
link_a5,-0.0445527751967654,8.72515785954597E-06,0.0283178074848019,0,0,0,0.691485853906912,0.00053587217476237,-1.66785104800889E-07,-0.000165180730911934,0.00167662010209616,4.52790643374491E-08,0.00160760235435603,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a5.STL,1,1,1,1,0,0,0,0,0,0,package://JAKA-Lumi-sensors-v3/meshes/link_a5.STL,,MiniCobo 2023-03-03-1/MC 05_默认-1,ac-5,al-5,l_a5,revolute,0,-0.01805,0.0802,1.5708,1.5708,0,link_a4,0,0,1,0,0,-2.0943,2.0943,,,,,,,,
